主订单编号,支付单号,标题,购买数量,商品属性,订单状态,买家实际支付金额,订单创建时间,订单付款时间
"=""1785978267547602886""","=""2022123122001128801439952614""",【年货价】SERUMKIND韩国保湿滋润抗衰老软化角质青春焕彩唇部精华3.9g,1,,交易成功,87.1,2022-12-31 22:29:00,2022-12-31 22:29:31
"=""1785978267547602886""","=""2022123122001128801439952614""",【赠品专用】SERUMKIND精华液小样1ml*3,1,,交易成功,0.0,2022-12-31 22:29:00,2022-12-31 22:29:31
"=""1785978267547602886""","=""2022123122001128801439952614""",【赠品专用】SUREBASE烁贝思纯锌物理防晒隔离小样10ml,1,,交易成功,0.0,2022-12-31 22:29:00,2022-12-31 22:29:31
"=""1785908499845202692""","=""2022123122001119921445647306""",【年货价】SERUMKIND韩国保湿滋润抗衰老软化角质青春焕彩唇部精华3.9g,1,,交易关闭,87.1,2022-12-31 21:05:10,2022-12-31 21:05:15
"=""1785908499845202692""","=""2022123122001119921445647306""",【赠品专用】SERUMKIND精华液小样1ml*3,1,,交易关闭,0.0,2022-12-31 21:05:10,2022-12-31 21:05:15
"=""1785908499845202692""","=""2022123122001119921445647306""",【赠品专用】SUREBASE烁贝思纯锌物理防晒隔离小样10ml,1,,交易关闭,0.0,2022-12-31 21:05:10,2022-12-31 21:05:15
"=""3127475952101591944""","=""2022123122001115571413396530""",【年货价】SUREBASE烁贝思韩国焕彩保湿水光气垫正装(含2个粉扑/无替换装),1,颜色分类：N1 SINCERE SARA;净含量：13ml,交易成功,186.82,2022-12-31 20:53:03,2022-12-31 20:53:17
"=""3127475952101591944""","=""2022123122001115571413396530""",【赠品专用】SERUMKIND精华液小样1ml*3,2,,交易成功,0.0,2022-12-31 20:53:03,2022-12-31 20:53:17
"=""3127475952101591944""","=""2022123122001115571413396530""",【赠品专用】SERUMKIND收缩毛孔金木瓜毛孔精华液5ml,1,,交易成功,0.0,2022-12-31 20:53:03,2022-12-31 20:53:17
"=""3127475952101591944""","=""2022123122001115571413396530""",【赠品专用】SUREBASE烁贝思纯锌物理防晒隔离小样10ml,2,,交易成功,0.0,2022-12-31 20:53:03,2022-12-31 20:53:17
"=""3127475952101591944""","=""2022123122001115571413396530""",【赠品专用】SUREBASE烁贝思粉扑2件装,1,,交易成功,0.0,2022-12-31 20:53:03,2022-12-31 20:53:17
"=""3127475952101591944""","=""2022123122001115571413396530""",【赠品专用】SERUMKIND黑郁金香强化肌肤屏障精华液5ml,1,,交易成功,0.0,2022-12-31 20:53:03,2022-12-31 20:53:17
"=""3128647755229891247""","=""2022123122001121961450445297""",【年货价】SERUMKIND韩国阳光葡萄清颜精华液30ml,1,,交易成功,188.87,2022-12-31 19:40:50,2022-12-31 19:40:55
"=""3128647755229891247""","=""2022123122001121961450445297""",【年货价】SERUMKIND韩国改善肌肤暗沉提亮肤色抗衰老青春焕彩精华液30ml,1,,交易成功,176.81,2022-12-31 19:40:50,2022-12-31 19:40:55
"=""3128647755229891247""","=""2022123122001121961450445297""",【赠品专用】SERUMKIND精华液小样1ml*3,5,,交易成功,0.0,2022-12-31 19:40:50,2022-12-31 19:40:55
"=""3128647755229891247""","=""2022123122001121961450445297""",【赠品专用】SERUMKIND收缩毛孔金木瓜毛孔精华液5ml,3,,交易成功,0.0,2022-12-31 19:40:50,2022-12-31 19:40:55
"=""3128647755229891247""","=""2022123122001121961450445297""",【赠品专用】SUREBASE烁贝思纯锌物理防晒隔离小样10ml,3,,交易成功,0.0,2022-12-31 19:40:50,2022-12-31 19:40:55
"=""3128647755229891247""","=""2022123122001121961450445297""",【赠品专用】SERUMKIND黑郁金香强化肌肤屏障精华液5ml,3,,交易成功,0.0,2022-12-31 19:40:50,2022-12-31 19:40:55
"=""3128647755229891247""","=""2022123122001121961450445297""",【赠品专用】SERUMKIND瑟琳凯因德时尚生活搭配字母帆布包,1,,交易成功,0.0,2022-12-31 19:40:50,2022-12-31 19:40:55
"=""1785748477989634085""","=""2022123122001180181458141235""",【年货价】SERUMKIND韩国保湿滋润修护手部肌肤屏障黑郁金香护手精华50ml,1,净含量：50ml,交易成功,100.69,2022-12-31 18:12:19,2022-12-31 18:12:36
