"子订单编号","主订单编号","标题","价格","购买数量","外部系统编号","商品属性","套餐信息","备注","订单状态","商家编码","支付单号","买家应付货款","买家实际支付金额","退款状态","退款金额","订单创建时间","订单付款时间"
="1785978267548602886",="1785978267547602886","【年货价】SERUMKIND韩国保湿滋润抗衰老软化角质青春焕彩唇部精华3.9g","139.00","1","null","null","null","null","交易成功","null",="2022123122001128801439952614","87.10","87.10","没有申请退款","无退款申请","2022-12-31 22:29:00","2022-12-31 22:29:31"
="1785978267549602886",="1785978267547602886","【赠品专用】SERUMKIND精华液小样1ml*3","25.00","1","null","null","null","null","交易成功","null",="2022123122001128801439952614","0.00","0.00","没有申请退款","无退款申请","2022-12-31 22:29:00","2022-12-31 22:29:31"
="1785978267550602886",="1785978267547602886","【赠品专用】SUREBASE烁贝思纯锌物理防晒隔离小样10ml","25.00","1","8809754820887","null","null","null","交易成功","8809754820887",="2022123122001128801439952614","0.00","0.00","没有申请退款","无退款申请","2022-12-31 22:29:00","2022-12-31 22:29:31"
="1785908499846202692",="1785908499845202692","【年货价】SERUMKIND韩国保湿滋润抗衰老软化角质青春焕彩唇部精华3.9g","139.00","1","null","null","null","null","交易关闭","null",="2022123122001119921445647306","87.10","87.10","退款成功","87.10","2022-12-31 21:05:10","2022-12-31 21:05:15"
="1785908499847202692",="1785908499845202692","【赠品专用】SERUMKIND精华液小样1ml*3","25.00","1","null","null","null","null","交易关闭","null",="2022123122001119921445647306","0.00","0.00","退款成功","0.00","2022-12-31 21:05:10","2022-12-31 21:05:15"
="1785908499848202692",="1785908499845202692","【赠品专用】SUREBASE烁贝思纯锌物理防晒隔离小样10ml","25.00","1","8809754820887","null","null","null","交易关闭","8809754820887",="2022123122001119921445647306","0.00","0.00","退款成功","0.00","2022-12-31 21:05:10","2022-12-31 21:05:15"
="3127475952102591944",="3127475952101591944","【年货价】SUREBASE烁贝思韩国焕彩保湿水光气垫正装(含2个粉扑/无替换装)","259.00","1","null","颜色分类：N1 SINCERE SARA;净含量：13ml","null","null","交易成功","null",="2022123122001115571413396530","193.59","186.82","没有申请退款","无退款申请","2022-12-31 20:53:03","2022-12-31 20:53:17"
="3127475952103591944",="3127475952101591944","【赠品专用】SERUMKIND精华液小样1ml*3","25.00","2","null","null","null","null","交易成功","null",="2022123122001115571413396530","0.00","0.00","没有申请退款","无退款申请","2022-12-31 20:53:03","2022-12-31 20:53:17"
="3127475952104591944",="3127475952101591944","【赠品专用】SERUMKIND收缩毛孔金木瓜毛孔精华液5ml","39.00","1","8809754820856","null","null","null","交易成功","8809754820856",="2022123122001115571413396530","0.00","0.00","没有申请退款","无退款申请","2022-12-31 20:53:03","2022-12-31 20:53:17"
="3127475952105591944",="3127475952101591944","【赠品专用】SUREBASE烁贝思纯锌物理防晒隔离小样10ml","25.00","2","8809754820887","null","null","null","交易成功","8809754820887",="2022123122001115571413396530","0.00","0.00","没有申请退款","无退款申请","2022-12-31 20:53:03","2022-12-31 20:53:17"
="3127475952106591944",="3127475952101591944","【赠品专用】SUREBASE烁贝思粉扑2件装","20.00","1","null","null","null","null","交易成功","null",="2022123122001115571413396530","0.00","0.00","没有申请退款","无退款申请","2022-12-31 20:53:03","2022-12-31 20:53:17"
="3127475952107591944",="3127475952101591944","【赠品专用】SERUMKIND黑郁金香强化肌肤屏障精华液5ml","49.00","1","8809754820863","null","null","null","交易成功","8809754820863",="2022123122001115571413396530","0.00","0.00","没有申请退款","无退款申请","2022-12-31 20:53:03","2022-12-31 20:53:17"
="3128647755230891247",="3128647755229891247","【年货价】SERUMKIND韩国阳光葡萄清颜精华液30ml","269.00","1","8809754820689","null","null","null","交易成功","8809754820689",="2022123122001121961450445297","188.87","188.87","没有申请退款","无退款申请","2022-12-31 19:40:50","2022-12-31 19:40:55"
="3128647755231891247",="3128647755229891247","【年货价】SERUMKIND韩国改善肌肤暗沉提亮肤色抗衰老青春焕彩精华液30ml","279.00","1","8809603904461","null","null","null","交易成功","8809603904461",="2022123122001121961450445297","176.81","176.81","没有申请退款","无退款申请","2022-12-31 19:40:50","2022-12-31 19:40:55"
="3128647755232891247",="3128647755229891247","【赠品专用】SERUMKIND精华液小样1ml*3","25.00","5","null","null","null","null","交易成功","null",="2022123122001121961450445297","0.00","0.00","没有申请退款","无退款申请","2022-12-31 19:40:50","2022-12-31 19:40:55"
